ID,DATE,SCHOOL,GENDER,TEST,LAB,BEHAV,GRADE,M4CID
1,2003,0,F,69,40,97,1,0
2,2003,0,F,84,80,100,1,0
3,2003,0,F,85,100,100,1,0
4,2003,0,F,60,60,67,1,0
5,2003,0,M,65,60,80,1,0
6,2003,0,F,69,60,83,1,0
7,2003,0,M,78,60,66,1,0
8,2003,0,M,78,60,72,1,0
9,2003,0,F,72,100,100,1,0
10,2003,0,M,77,60,83,1,0
11,2003,0,F,53,60,100,1,0
12,2003,0,M,85,100,100,1,0
13,2003,0,M,81,60,83,1,0
14,2003,0,M,88,60,100,1,0
15,2003,0,F,75,60,75,1,0
16,2003,0,M,70,40,82,1,0
17,2003,0,F,69,60,80,1,0
18,2003,0,F,89,60,67,1,0
19,2003,0,F,72,60,100,1,0
20,2003,0,F,77,100,75,1,0
21,2003,0,M,86,80,100,1,0
22,2003,0,M,89,60,100,1,0
23,2003,0,M,81,60,68,1,0
24,2003,0,M,81,80,85,1,0
25,2003,0,F,74,80,100,1,0
26,2003,0,F,77,60,65,1,0
27,2003,0,M,83,60,80,1,0
28,2003,0,M,75,60,98,1,0
29,2003,0,F,65,60,98,1,0
30,2003,0,M,70,80,98,1,0
31,2003,0,F,70,60,96,1,0
32,2003,0,M,67,60,96,1,0
33,2003,0,M,60,60,80,1,0
34,2003,0,M,45,40,77,1,0
35,2003,0,M,68,80,81,1,0
36,2003,0,F,65,40,79,1,0
37,2003,0,F,59,60,63,1,0
38,2003,0,F,76,80,71,1,0
39,2003,0,M,69,60,96,1,0
40,2003,0,M,61,40,37,1,0
41,2003,0,M,61,80,65,1,0
42,2003,0,M,68,60,76,1,0
43,2003,0,M,52,40,75,1,0
44,2003,0,F,59,40,48,1,0
45,2003,0,M,45,40,63,1,0
46,2003,0,M,85,60,98,1,0
47,2003,0,M,52,40,55,1,0
48,2003,0,F,53,60,83,1,0
49,2003,0,F,53,40,52,1,0
50,2003,0,M,49,60,81,1,0
51,2003,0,F,63,40,66,1,0
52,2003,0,F,73,40,83,1,0
53,2003,0,F,75,40,73,1,0
54,2003,0,F,61,40,90,1,0
55,2003,0,F,58,100,80,1,0
56,2003,0,F,81,60,55,1,0
57,2003,0,M,88,60,78,1,0
58,2003,0,M,58,40,81,1,0
59,2003,0,F,49,40,83,1,0
60,2003,0,F,73,40,53,1,0
61,2003,0,M,60,60,90,1,0
62,2003,0,M,42,40,56,1,0
63,2003,0,M,54,40,59,1,0
64,2003,0,M,76,60,90,1,0
65,2003,0,F,84,80,100,1,0
66,2003,0,M,52,60,81,1,0
67,2003,0,F,36,20,62,1,0
68,2003,0,M,69,20,70,1,0
69,2003,0,M,61,40,54,1,0
70,2003,0,M,62,60,100,1,0
71,2003,0,F,58,60,100,1,0
72,2003,0,F,60,80,85,1,0
73,2003,0,M,68,60,62,1,0
74,2003,0,M,58,40,53,1,0
75,2003,0,M,88,60,75,1,0
76,2003,0,M,97,80,81,2,0
77,2003,0,F,55,60,100,2,0
78,2003,0,F,83,80,66,2,0
79,2003,0,F,92,80,57,2,0
80,2003,0,M,61,20,83,2,0
81,2003,0,F,91,60,98,2,0
82,2003,0,M,42,60,83,2,0
83,2003,0,F,80,60,100,2,0
84,2003,0,F,67,60,63,2,0
85,2003,0,M,67,60,55,2,0
86,2003,0,M,87,80,50,2,0
87,2003,0,M,84,20,63,2,0
88,2003,0,M,78,60,83,2,0
89,2003,0,M,83,80,70,2,0
90,2003,0,M,87,80,98,2,0
91,2003,0,F,95,80,98,2,0
92,2003,0,F,68,60,95,2,0
93,2003,0,F,89,60,75,2,0
94,2003,0,M,60,60,83,2,0
95,2003,0,F,71,60,68,2,0
96,2003,0,M,46,60,81,2,0
97,2003,0,F,91,60,98,2,0
98,2003,0,M,88,60,98,2,0
99,2003,0,F,85,80,81,2,0
100,2003,0,F,75,80,98,2,0
101,2003,0,F,64,80,98,2,0
102,2003,0,M,75,80,98,2,0
103,2003,0,F,70,80,74,2,0
104,2003,0,F,54,60,54,2,0
105,2003,0,M,74,80,56,2,0
106,2003,0,M,77,80,80,2,0
107,2003,0,M,75,80,75,2,0
108,2003,0,M,78,80,71,2,0
109,2003,0,F,72,80,83,2,0
110,2003,0,F,77,60,57,2,0
111,2003,0,M,57,60,63,2,0
112,2003,0,M,78,60,62,2,0
113,2003,0,M,52,60,65,2,0
114,2003,0,F,68,60,48,2,0
115,2003,0,M,74,80,75,2,0
116,2003,0,F,88,100,81,2,0
117,2003,0,F,48,60,72,2,0
118,2003,0,F,58,60,74,2,0
119,2003,0,F,96,100,92,2,0
120,2003,0,M,81,80,89,2,0
121,2003,0,M,70,60,83,2,0
122,2003,0,F,56,60,74,2,0
123,2003,0,F,44,59,83,2,0
124,2004,0,F,54,34,86,0,0
125,2004,0,F,73,20,52,0,0
126,2004,0,M,69,46,76,0,0
127,2004,0,M,62,28,73,0,0
128,2004,0,M,33,44,48,0,0
129,2004,0,M,89,52,65,0,0
130,2004,0,M,63,71,80,0,0
131,2004,0,F,65,69,71,0,0
132,2004,0,M,76,89,85,0,0
133,2004,0,F,76,85,92,0,0
134,2004,0,F,70,57,58,0,0
135,2004,0,M,29,45,86,0,0
136,2004,0,F,95,60,87,0,0
137,2004,0,F,80,84,88,0,0
138,2004,0,F,44,59,73,0,0
139,2004,0,F,56,60,70,0,0
140,2004,0,F,80,73,81,0,0
141,2004,0,M,51,41,82,0,0
142,2004,0,F,49,76,65,0,0
